,"Credit goes to Felix Just, S.J., Ph.D. for all data below. Find original information and more at: https://catholic-resources.org/Lectionary/",,,,,,,Further Reading Based on the Lectionary. Credit goes to CHResources. See their program here: https://s3.amazonaws.com/chnpublicmedia/bblccc.pdf,,,,
Occasion,1st Reading,Response,2nd Reading,Gospel,Lectionary#,,,1st Reading,Responsorial,2nd Reading,Gospel,Catechism
"Ord. Time, Week 1, Mon",Heb 1:1-6,"Ps 97:1+2b, 6+7c, 9",,Mark 1:14-20,305,,,,,,,
"Ord. Time, Week 1, Tues",Heb 2:5-12,"Ps 8:2ab+5, 6-7, 8-9",,Mark 1:21-28,306,,,,,,,
"Ord. Time, Week 1, Wed",Heb 2:14-18,"Ps 105:1-2, 3-4, 6-7, 8-9",,Mark 1:29-39,307,,,,,,,
"Ord. Time, Week 1, Thurs",Heb 3:7-14,"Ps 95:6-7c, 8-9, 10-11",,Mark 1:40-45,308,,,,,,,
"Ord. Time, Week 1, Fri","Heb 4:1-5, 11","Ps 78:3+4bc, 6c-7, 8",,Mark 2:1-12,309,,,,,,,
"Ord. Time, Week 1, Sat",Heb 4:12-16,"Ps 19:8, 9, 10, 15",,Mark 2:13-17,310,,,,,,,
2nd Sunday in Ordinary Time,"Isa 49: 3, 5-6","Ps 40:2+4, 7-8a, 8b-9, 10",1 Cor 1:1-3,John 1:29-34,64,,,,,,,
"Ord. Time, Week 2, Mon",Heb 5:1-10,"Ps 110:1, 2, 3, 4",,Mark 2:18-22,311,,,,,,,
"Ord. Time, Week 2, Tues",Heb 6:10-20,"Ps 111:1-2, 4-5, 9+10c",,Mark 2:23-28,312,,,,,,,
"Ord. Time, Week 2, Wed","Heb 7:1-3, 15-17","Ps 110:1, 2, 3, 4",,Mark 3:1-6,313,,,,,,,
"Ord. Time, Week 2, Thurs",Heb 7:25—8:6,"Ps 40:7-8a, 8b-9, 10, 17",,Mark 3:7-12,314,,,,,,,
"Ord. Time, Week 2, Fri",Heb 8:6-13,"Ps 85:8+10, 11-12, 13-14",,Mark 3:13-19,315,,,,,,,
