,"Credit goes to Felix Just, S.J., Ph.D. for all data below. Find original information and more at: https://catholic-resources.org/Lectionary/",,,,,,,Further Reading Based on the Lectionary. Credit goes to CHResources. See their program here: https://s3.amazonaws.com/chnpublicmedia/bblccc.pdf,,,,
Occasion,1st Reading,Response,2nd Reading,Gospel,Lectionary#,,,1st Reading,Responsorial,2nd Reading,Gospel,Catechism
"Ord. Time, Week 29, Sat",Rom 8:1-11,"Ps 24:1b-2, 3-4ab, 5-6",,Luke 13:1-9,478,,,,,,,
30th Sunday in Ordinary Time,Exod 22:20-26,"Ps 18:2-3a, 3b-4, 47+51",1 Thess 1:5c-10,Matt 22:34-40,148,,,,,,,
"Ord. Time, Week 30, Mon",Rom 8:12-17,"Ps 68:2+4, 6-7ab, 20-21",,Luke 13:10-17,479,,,,,,,
"Ord. Time, Week 30, Tues",Rom 8:18-25,"Ps 126:1b-2ab, 2cd-3, 4-5, 6",,Luke 13:18-21,480,,,,,,,
"Ord. Time, Week 30, Wed",Rom 8:26-30,"Ps 13:4-5, 6",,Luke 13:22-30,481,,,,,,,
"Ord. Time, Week 30, Thurs",Rom 8:31b-39,"Ps 109:21-22, 26-27, 30-31",,Luke 13:31-35,482,,,,,,,
"Ord. Time, Week 30, Fri",Rom 9:1-5,"Ps 147:12-13, 14-15, 19-20",,Luke 14:1-6,483,,,,,,,
"Ord. Time, Week 30, Sat","Rom 11:1-2a, 11-12, 25-29","Ps 94:12-13a, 14-15, 17-18",,"Luke 14:1, 7-11",484,,,,,,,
31st Sunday in Ordinary Time,"Mal 1:14b—2:2b, 8-10","Ps 131:1, 2, 3","1 Thess 2:7b-9, 13",Matt 23:1-12,151,,,,,,,
"Ord. Time, Week 31, Mon",Rom 11:29-36,"Ps 69:30-31, 33-34, 36-37",,Luke 14:12-14,485,,,,,,,
"Ord. Time, Week 31, Tues",Rom 12:5-16ab,"Ps 131:1bcde, 2, 3",,Luke 14:15-24,486,,,,,,,
"Ord. Time, Week 31, Wed",Rom 13:8-10,"Ps 112:1b-2, 4-5, 9",,Luke 14:25-33,487,,,,,,,
"Ord. Time, Week 31, Thurs",Rom 14:7-12,"Ps 27:1bcde, 4, 13-14",,Luke 15:1-10,488,,,,,,,
"Ord. Time, Week 31, Fri",Rom 15:14-21,"Ps 98:1, 2-3ab, 3cd-4",,Luke 16:1-8,489,,,,,,,
"Ord. Time, Week 31, Sat","Rom 16:3-9, 16, 22-27","Ps 145:2-3, 4-5, 10-11",,Luke 16:9-15,490,,,,,,,
32nd Sunday in Ordinary Time,Wis 6:12-16,"Ps 63:2, 3-4, 5-6, 7-8",1 Thess 4:13-18 or 4:13-14,Matt 25:1-13,154,,,,,,,
"Ord. Time, Week 32, Mon",Wis 1:1-7,"Ps 139:1b-3, 4-6, 7-8, 9-10",,Luke 17:1-6,491,,,,,,,
"Ord. Time, Week 32, Tues",Wis 2:23—3:9,"Ps 34:2-3, 16-17, 18-19",,Luke 17:7-10,492,,,,,,,
"Ord. Time, Week 32, Wed",Wis 6:1-11,"Ps 82:3-4, 6-7",,Luke 17:11-19,493,,,,,,,
"Ord. Time, Week 32, Thurs",Wis 7:22b—8:1,"Ps 119:89, 90, 91, 130, 135, 175",,Luke 17:20-25,494,,,,,,,
"Ord. Time, Week 32, Fri",Wis 13:1-9,"Ps 19:2-3, 4-5ab",,Luke 17:26-37,495,,,,,,,
"Ord. Time, Week 32, Sat",Wis 18:14-16; 19:6-9,"Ps 105:2-3, 36-37, 42-43",,Luke 18:1-8,496,,,,,,,
33rd Sunday in Ordinary Time,"Prov 31:10-13, 19-20, 30-31","Ps 128:1-2, 3, 4-5",1 Thess 5:1-6,"Matt 25:14-30 or 25:14-15, 19-21",157,,,,,,,
"Ord. Time, Week 33, Mon","1 Macc 1:10-15, 41-43, 54-57, 62-63","Ps 119:53, 61, 134, 150, 155, 158",,Luke 18:35-43,497,,,,,,,
"Ord. Time, Week 33, Tues",2 Macc 6:18-31,"Ps 3:2-3, 4-5, 6-7",,Luke 19:1-10,498,,,,,,,
"Ord. Time, Week 33, Wed","2 Macc 7:1, 20-31","Ps 17:1bcd, 5-6, 8b+15",,Luke 19:11-28,499,,,,,,,
"Ord. Time, Week 33, Thurs",1 Macc 2:15-29,"Ps 50:1b-2, 5-6, 14-15",,Luke 19:41-44,500,,,,,,,
"Ord. Time, Week 33, Fri","1 Macc 4:36-37, 52-59","1 Chr 29:10bcd, 11abc, 11d-12a, 12bcd",,Luke 19:45-48,501,,,,,,,
"Ord. Time, Week 33, Sat",1 Macc 6:1-13,"Ps 9:2-3, 4+6, 16+19",,Luke 20:27-40,502,,,,,,,
34th Sunday in Ord. Time: Christ the King,"Ezek 34:11-12, 15-17","Ps 23:1-2a, 2b-3, 5, 6","1 Cor 15:20-26, 28",Matt 25:31-46,160,,,,,,,
"Ord. Time, Week 34, Mon","Dan 1:1-6, 8-20","Dan 3:52, 53, 54, 55, 56",,Luke 21:1-4,503,,,,,,,
"Ord. Time, Week 34, Tues",Dan 2:31-45,"Dan 3:57, 58, 59, 60, 61",,Luke 21:5-11,504,,,,,,,
"Ord. Time, Week 34, Wed","Dan 5:1-6, 13-14, 16-17, 23-28","Dan 3:62, 63, 64, 65, 66, 67",,Luke 21:12-19,505,,,,,,,
"Ord. Time, Week 34, Thurs",Dan 6:12-28,"Dan 3:68, 69, 70, 71, 72, 73, 74",,Luke 21:20-28,506,,,,,,,
"Ord. Time, Week 34, Fri",Dan 7:2-14,"Dan 3:75, 76, 77, 78, 79, 80, 81",,Luke 21:29-33,507,,,,,,,
"Ord. Time, Week 34, Sat",Dan 7:15-27,"Dan 3:82, 83, 84, 85, 86, 87",,Luke 21:34-36,508,,,,,,,
